mysql> select avg(adf_p),concat(code_to_short, '->', code_to_long) from pair_stats group by concat(code_to_short, '->', code_to_long) order by avg(adf_p);
+------------------------+-------------------------------------------+
| avg(adf_p)             | concat(code_to_short, '->', code_to_long) |
+------------------------+-------------------------------------------+
|                      0 | 510300->510420                            |
|                      0 | 510050->510710                            |
|                      0 | 159919->510330                            |
|                      0 | 510330->510420                            |
|                      0 | 510230->510710                            |
|                      0 | 510500->159907                            |
|                      0 | 510050->159923                            |
|                      0 | 510310->510360                            |
|                      0 | 512990->510420                            |
|                      0 | 510230->159923                            |
|                      0 | 510300->510330                            |
|                      0 | 159903->159907                            |
|                      0 | 159919->165309                            |
|                      0 | 159903->159943                            |
|                      0 | 510310->159923                            |
|                      0 | 510330->510310                            |
|                      0 | 510510->510500                            |
|                      0 | 159919->510450                            |
|                      0 | 510230->510650                            |
|                      0 | 510310->165309                            |
|                      0 | 510310->510300                            |
|                      0 | 512990->159923                            |
|                      0 | 510050->160716                            |
|                      0 | 510180->510450                            |
|                      0 | 510500->162711                            |
|                      0 | 512500->162711                            |
|                      0 | 510330->159919                            |
|                      0 | 510300->510450                            |
|                      0 | 159903->162711                            |
|                      0 | 510330->510450                            |
|                      0 | 510510->512510                            |
|                      0 | 512500->159912                            |
|                      0 | 510310->510420                            |
|                      0 | 512990->510450                            |
|                      0 | 510510->159907                            |
|                      0 | 159919->510310                            |
|                      0 | 510180->159923                            |
|                      0 | 510180->165309                            |
|                      0 | 159902->159907                            |
|                      0 | 510300->159923                            |
|                      0 | 510310->510330                            |
|                      0 | 510300->165309                            |
|                      0 | 510500->510510                            |
|                      0 | 510300->510310                            |
|                      0 | 510330->159923                            |
|                      0 | 510330->165309                            |
|                      0 | 510310->159919                            |
|                      0 | 510330->510300                            |
|                      0 | 510510->162711                            |
|                      0 | 159919->510420                            |
|                      0 | 510310->510450                            |
|                      0 | 159902->162711                            |
|                      0 | 510500->512510                            |
|                      0 | 512500->512510                            |
|  0.0000684931506849315 | 510510->512500                            |
